"Local","Computador","Investimento","Pesquisa"
"AUS 2006",0,14.635374,2.0041726755096
"AUS 2008",1,13.785639,2.24570188351341
"AUT 2006",0,12.107165,2.35922709819809
"AUT 2007",0,12.287206,2.41843231712657
"CAN 2005",0,17.597812,1.97124346682236
"CAN 2006",1,16.813136,1.94299894962194
"CAN 2007",1,16.655466,1.90357751126509
"CAN 2008",1,15.864026,1.85577785944947
"CAN 2009",1,17.472226,1.91741539354459
"CHE 2008",1,17.926379,2.63883648748641
"DEU 2006",1,15.193548,2.47231547788753
"DEU 2007",1,13.965183,2.46048056650197
"DEU 2008",1,13.04645,2.61513302624397
"DEU 2009",1,13.234983,2.74266255882702
"DEU 2010",1,12.690394,2.73023738816097
"DNK 2006",1,24.506389,2.40300259922869
"DNK 2007",1,24.573655,2.51541238893515
"ESP 2006",0,12.720552,1.17702203476111
"ESP 2007",0,13.132556,1.24052875813894
"ESP 2008",0,13.638523,1.32499772428419
"ESP 2009",0,13.706933,1.36363621655945
"ESP 2010",0,13.763415,1.35996388582551
"FIN 2006",0,15.433109,3.332155098122
"FIN 2007",0,14.279479,3.33704156688334
"FIN 2008",1,12.822967,3.53696831647492
"FIN 2009",1,14.42818,3.73402168949144
"FIN 2010",1,15.519828,3.70532026171582
"FRA 2007",0,16.237113,2.02451299604401
"FRA 2008",0,16.222845,2.06116919463155
"FRA 2009",0,16.339623,2.21206518000725
"GBR 2006",0,24.746025,1.57767051353794
"GBR 2007",1,23.765698,1.61678284182306
"IRL 2006",0,8.9848321,1.19888072807804
"IRL 2007",0,8.8717423,1.23370653483093
"IRL 2008",0,7.546465,1.38876822327474
"IRL 2009",0,11.297901,1.61118099986766
"IRL 2010",1,12.412805,1.5920830504718
"ITA 2006",0,10.909417,1.08401127645318
"ITA 2007",0,10.741382,1.12899124730515
"ITA 2008",0,10.4188,1.15972442806049
"ITA 2009",0,10.907896,1.21787466447265
"ITA 2010",0,11.026056,1.21797001811107
"JPN 2005",1,14.307092,3.13091898152843
"JPN 2006",1,13.453076,3.22765561311149
"JPN 2007",1,13.399405,3.2925719526548
"JPN 2008",1,13.532096,3.29223881151248
"KOR 2005",1,12.235326,2.52289614117866
"KOR 2006",1,12.373509,2.71933803798025
"KOR 2007",1,12.140192,2.87258149467146
"KOR 2008",1,11.718285,2.98887200451562
"KOR 2009",1,11.358163,3.14668557794568
"KOR 2010",1,10.716026,3.31577672130706
"NLD 2006",1,22.279512,1.74066711601824
"NLD 2007",1,19.548252,1.6703005636578
"NZL 2009",1,21.619381,1.25214867271211
"SWE 2006",1,24.364856,3.47499572344016
"SWE 2007",1,23.037414,3.23382560135025
"SWE 2008",1,21.934836,3.46999475126844
"SWE 2009",1,24.746259,3.39528075070776
"USA 2010",1,32.137836,2.73540273206096
